stt, month ,make,importer_type,fuel_type,vehicle_type,number,,
259, 2016-01 ,ROLLS ROYCE,,Petrol,Sports Utility Vehicle,0,,
260, 2016-01 ,SSANGYONG,,Petrol,Sports Utility Vehicle,23,,
261, 2016-01 ,SSANGYONG,,Diesel,Sports Utility Vehicle,0,,
262, 2016-01 ,SUBARU,,Petrol,Sports Utility Vehicle,178,,
263, 2016-01 ,SUZUKI,,Petrol,Sports Utility Vehicle,0,,
264, 2016-01 ,TESLA,,Others,Sports Utility Vehicle,0,,
265, 2016-01 ,TOYOTA,,Petrol,Sports Utility Vehicle,404,,
266, 2016-01 ,TOYOTA,,Diesel,Sports Utility Vehicle,1,,
267, 2016-01 ,TOYOTA,,Others,Sports Utility Vehicle,1,,
268, 2016-01 ,TRIUMPH,,Petrol,Sports Utility Vehicle,0,,
269, 2016-01 ,VOLKSWAGEN,,Petrol,Sports Utility Vehicle,31,,
270, 2016-01 ,VOLKSWAGEN,,Diesel,Sports Utility Vehicle,0,,
271, 2016-01 ,VOLVO,,Petrol,Sports Utility Vehicle,45,,
272, 2016-01 ,VOLVO,,Diesel,Sports Utility Vehicle,0,,
273, 2016-01 ,ALFA ROMEO,,Petrol,Coupe/ Convertible,0,,
274, 2016-01 ,ALPINA,,Petrol,Coupe/ Convertible,0,,
275, 2016-01 ,ASTON MARTIN,,Petrol,Coupe/ Convertible,2,,
276, 2016-01 ,AUDI,,Petrol,Coupe/ Convertible,4,,
277, 2016-01 ,B.M.W.,,Petrol,Coupe/ Convertible,10,,
278, 2016-01 ,B.M.W.,,Diesel,Coupe/ Convertible,0,,
279, 2016-01 ,B.M.W.,,Others,Coupe/ Convertible,0,,
280, 2016-01 ,BENTLEY,,Petrol,Coupe/ Convertible,1,,
281, 2016-01 ,CHERY,,Petrol,Coupe/ Convertible,0,,
282, 2016-01 ,CHEVROLET,,Petrol,Coupe/ Convertible,0,,
283, 2016-01 ,CHRYSLER,,Diesel,Coupe/ Convertible,0,,
284, 2016-01 ,CITROEN,,Petrol,Coupe/ Convertible,0,,
285, 2016-01 ,CITROEN,,Diesel,Coupe/ Convertible,0,,
286, 2016-01 ,DAIHATSU,,Petrol,Coupe/ Convertible,0,,
287, 2016-01 ,FERRARI,,Petrol,Coupe/ Convertible,1,,
288, 2016-01 ,FIAT,,Petrol,Coupe/ Convertible,0,,
289, 2016-01 ,FORD,,Petrol,Coupe/ Convertible,0,,
